chapter,chapter_label,chapter_name,chapter_icon,topic,topic_label,topic_icon,type,enabled,word,definition,wordle_eligible,connections_category,formula,charge,charge_display,category,mnemonic,common_compounds,symbol,atomic_num,mass,family,period,group,common_charge,hint,mnemonic
ch11,Chapter 11,Equilibrium,🧪,chemical-equilibrium,Chemical Equilibrium,🧪,vocab,,DYNAMIC EQUILIBRIUM,Forward and reverse rates equal; no net change,TRUE,chemical-equilibrium|forward=reverse|no net change|dynamic equilibrium,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,chemical-equilibrium,Chemical Equilibrium,🧪,vocab,,LE CHATELIER,System at equilibrium shifts to counteract stress,TRUE,chemical-equilibrium|stress response|shift|le chatelier,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,chemical-equilibrium,Chemical Equilibrium,🧪,vocab,,REACTION QUOTIENT,Current concentration ratio (Q) predicts shift direction,TRUE,chemical-equilibrium|current ratio|direction|reaction quotient,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,chemical-equilibrium,Chemical Equilibrium,🧪,vocab,,KC,Equilibrium constant in molar concentrations,FALSE,chemical-equilibrium|concentration|constant|kc,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,chemical-equilibrium,Chemical Equilibrium,🧪,vocab,,KP,Equilibrium constant in partial pressures,FALSE,chemical-equilibrium|pressure|constant|kp,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,chemical-equilibrium,Chemical Equilibrium,🧪,vocab,,KSP,Solubility product constant for sparingly soluble salts,FALSE,chemical-equilibrium|solubility|constant|ksp,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,solubility-equilibria,Solubility Equilibria,🧪,vocab,,COMMON ION EFFECT,Decreased solubility when one ion already present,TRUE,chemical-equilibrium|common ion|decrease solubility|common ion effect,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,chemical-equilibrium,Chemical Equilibrium,🧪,vocab,,HOMOGENEOUS EQUILIBRIUM,All species in same phase,TRUE,chemical-equilibrium|same phase|equilibrium|homogeneous equilibrium,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,chemical-equilibrium,Chemical Equilibrium,🧪,vocab,,HETEROGENEOUS EQUILIBRIUM,Species in different phases,TRUE,chemical-equilibrium|different phases|equilibrium|heterogeneous equilibrium,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,chemical-equilibrium,Chemical Equilibrium,🧪,vocab,,ICE TABLE,Table for initial change equilibrium calculations,TRUE,chemical-equilibrium|initial/change/eq|calculation|ice table,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,acids_bases,Acids and Bases,🧪,vocab,,ACID,Increases [H+] or H3O+; proton donor,TRUE,Acid Characteristics|Acid Side|Acid Definitions|Strength & pKa,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,acids_bases,Acids and Bases,🧪,vocab,,BASE,Increases [OH-]; proton acceptor,TRUE,Base Characteristics|Base Side|Base Definitions|Strength & pKa,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,acids_bases,Acids and Bases,🧪,vocab,,ARRHENIUS ACID,Produces H+ in water,TRUE,Acid Definitions|Definitions & Theories,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,acids_bases,Acids and Bases,🧪,vocab,,ARRHENIUS BASE,Produces OH- in water,TRUE,Base Definitions|Definitions & Theories,,,,,,,,,,,,,,,
